80611,ALS,100,01,"Alternate Lang Study Option","Moisan, Claire",15,15,2.00
81338,ALS,100,02,"Italian I","Moisan, Claire",5,8,2.00
81348,ALS,100,04,"Brazilian Portuguese I","Moisan, Claire",-1,8,2.00
81342,ALS,100,05,"Korean I","Moisan, Claire",2,8,2.00
81341,ALS,100,07,"Kiswahili I","Moisan, Claire",3,8,2.00
81337,ALS,100,08,"Hungarian I","Moisan, Claire",6,8,2.00
81339,ALS,101,02,"Italian II","Moisan, Claire",3,8,2.00
81349,ALS,101,04,"Brazilian Portuguese II","Moisan, Claire",2,8,2.00
81343,ALS,101,05,"Korean II","Moisan, Claire",4,8,2.00
81336,ALS,101,10,"Modern Greek II","Moisan, Claire",8,10,2.00
81347,ALS,102,05,"Korean III","Moisan, Claire",9,10,2.00
79838,AMS,130,01,"Intro to American Studies","Scott, Kesho",7,25,4.00
79850,AMS,235,01,"Anthro of American Culture","Gibel Mevorach, Katya S",11,20,4.00
81170,AMS,295,01,"ST: Migrants, Refugees, Diasp","Quinsaat, Sharon",0,22,4.00
81269,AMS,499,01,"MAP: Abolitionist Monuments","Purcell, Sarah J",0,1,4.00
79842,ANT,104,01,"Anthropological Inquiries","Bentley-Condit, Vicki K",10,25,4.00
79843,ANT,104,02,"Anthropological Inquiries","Kulstad, Tess",0,30,4.00
79844,ANT,104,03,"Anthropological Inquiries","Kulstad, Tess",1,30,4.00
79847,ANT,202,01,"Sustainability","Caulkins, D Douglas",-3,35,4.00
79848,ANT,225,01,"Human Variation","Bentley-Condit, Vicki K",0,20,4.00
79849,ANT,235,01,"Anthro of American Culture","Gibel Mevorach, Katya S",11,20,4.00
79869,ANT,246,01,"Ant of Mod Mid East & N Africa","Kamp, Kathryn",20,20,4.00
79871,ANT,250,01,"Language Contact","Hansen, Cynthia",1,20,4.00
79870,ANT,252,01,"Culture and Agriculture","Andelson, Jonathan",2,20,4.00
79845,ANT,280,01,"Theories of Culture","French, Brigittine",7,20,4.00
79846,ANT,290,01,"Archaeological Field Methods","Whittaker, John C",0,15,4.00
80456,ANT,291,01,"Meth Empirical Investigation","Quinsaat, Sharon",0,18,4.00
80571,ANT,295,01,"ST: Antisemitsm/Anti-Semitsm","Gibel Mevorach, Katya S",6,20,4.00
79873,ANT,377,01,"War/Religion/Politics","Whittaker, John C",5,15,4.00
81106,ANT,395,01,"ST: Global Ethno and Tranlsm","Escandell, Xavier",8,15,4.00
81227,ANT,397,01,"IP: Organizational Anthro","Caulkins, D Douglas",0,1,2.00
81239,ANT,397,02,"IP: Immigrant Ethnographies","French, Brigittine",0,1,4.00
81300,ANT,397,03,"IP: Challengs 2nd Gen Somali","Escandell, Xavier",0,1,2.00
81368,ANT,397,04,"IP: The Media in Disaster","Kulstad, Tess",-1,1,4.00
81280,ANT,499,01,"MAP: NAGPRA & Heritage Presrv","Kamp, Kathryn",0,1,2.00
81295,ANT,499,02,"MAP: Discrs Powr & Rape Trial","French, Brigittine",0,1,4.00
81298,ANT,499,03,"MAP: Cannabis Science Culture","Tapias, Maria",0,1,4.00
80543,ARB,102,01,"Beginning Arabic II","Ramadan, Sahar Hassan Mohamed",16,24,5.00
80544,ARB,222,01,"Intermediate Arabic II","Ramadan, Sahar Hassan Mohamed",16,20,4.00
79889,ARH,103,01,"Intro to Art History","Shea, Eiren",10,25,4.00
79890,ARH,103,02,"Intro to Art History","Sivert, Laura B",5,25,4.00
79891,ARH,222,01,"Impressnism/Post-Impressnism","Staff",20,20,4.00
79892,ARH,232,01,"Art Since 1945","Sivert, Laura B",2,20,4.00
79893,ARH,248,01,"Greek Archaeology & Art","Cummins, Monessa F",1,25,4.00
80709,ARH,295,01,"ST: Footsteps of Marco Polo","Shea, Eiren",13,20,4.00
80711,ARH,295,02,"ST: Gndr Sxlty East Asian Art","Shea, Eiren",10,20,4.00
80708,ARH,295,03,"ST: Art, Media Built Envrnmnt","Rivera, Alfredo",0,15,4.00
80806,ARH,295,04,"ST: Riverscaping","Sivert, Laura B",16,20,4.00
81146,ARH,295,05,"ST: Just for You","Quintero, Craig",8,8,2.00
79986,ARH,400,01,"Seminar in Art History","Rivera, Alfredo",7,12,4.00
79884,ART,111,01,"Introduction to the Studio","Kluber, Matthew",0,15,4.00
79886,ART,111,02,"Introduction to the Studio","Chen, Jeremy",1,15,4.00
81195,ART,111,03,"Introduction to the Studio","Chen, Jeremy",1,15,4.00
81196,ART,111,04,"Introduction to the Studio","Evans, Lauren Frances",0,15,4.00
81197,ART,111,05,"Introduction to the Studio","Evans, Lauren Frances",3,15,4.00
79881,ART,134,01,"Drawing","Running, Lee Emma",0,15,4.00
81148,ART,195,01,"ST: Art/Bio Investigations","Staff",4,18,1.00
79882,ART,236,01,"Print Media","Kluber, Matthew",8,15,4.00
79885,ART,238,01,"Painting","Kaufman, Andrew",2,15,4.00
79887,ART,242,01,"Sculpture","Running, Lee Emma",15,15,4.00
80686,ART,246,01,"Digital Media","Kaufman, Andrew",-1,15,4.00
80603,ART,295,01,"ST: Print Matters","Byrd, Vance L",0,15,4.00
81169,ART,295,02,"ST: Just for You","Quintero, Craig",0,8,2.00
79883,ART,320,01,"Advanced Studio: Site Specific","Running, Lee Emma",-1,12,4.00
81228,ART,397,01,"IP: Advanced Print Media","Kluber, Matthew",0,1,2.00
79944,BCM,262,01,"Intro Biological Chem w/lab","Bailey, Charvann",-4,24,4.00
79946,BCM,262,02,"Intro Biological Chem w/lab","Key, Hanna Martel",0,24,4.00
81243,BCM,299,01,"DR: Intro to Flavin Research","Trimmer, Elizabeth E",-1,1,2.00
81267,BCM,499,01,"MAP: Modeling nAChR PET Behvr","Levandoski, Mark M",0,1,2.00
81310,BCM,499,02,"MAP: GLN Teixobactin Derv Syn","Leggans, Erick K",0,1,2.00
81353,BCM,499,03,"MAP: Microtubule Nucleation","Hasegawa, Keisuke",0,1,2.00
81354,BCM,499,04,"MAP: H/D Exch & MS MTHFR","Marzluff, Elaine M",0,1,4.00
81355,BCM,499,05,"MAP: Mass Spec Flavoproteins","Marzluff, Elaine M",0,1,2.00
80808,BIO,150,01,"Intro to Biolgcl Inqry w/lab","Villarreal, Susan",1,24,4.00
79896,BIO,150,01,"Intro to Biolgcl Inqry w/lab","Hinsa-Leasure, Shannon",24,24,4.00
79897,BIO,150,02,"Intro to Biolgcl Inqry w/lab","Sandquist, Joshua C.",5,24,4.00
80637,BIO,150,03,"Intro to Biolgcl Inqry w/lab","Thu, Yee Mon",2,24,4.00
80638,BIO,150,04,"Intro to Biolgcl Inqry w/lab","Bailey, Charvann",2,24,4.00
81147,BIO,195,01,"ST: Art/Bio Investigations","Staff",4,18,1.00
81152,BIO,195,02,"ST: Global Health","Ferguson, Susan J",0,15,4.00
79899,BIO,252,01,"Orgnsms, Evoltn, Ecolgy w/lab","Brown, Jonathan M",9,24,4.00
79902,BIO,252,02,"Orgnsms, Evoltn, Ecolgy w/lab","Queathem, Elizabeth J",3,24,4.00
79901,BIO,252,03,"Orgnsms, Evoltn, Ecolgy w/lab","Villarreal, Susan",0,24,4.00
81216,BIO,297,01,"GR: Medical Mycology","Jacobson, Kathryn M",0,1,2.00
81240,BIO,299,01,"DR: Plant Genetic Analysis","DeRidder, Benjamin",0,1,2.00
81242,BIO,299,02,"DR: I6S Community Analysis","Hinsa-Leasure, Shannon",0,1,2.00
79906,BIO,301,01,"History of Biological Thought","Brown, Jonathan M",-1,12,4.00
79907,BIO,334,01,"Plant Physiology w/lab","DeRidder, Benjamin",0,12,4.00
79910,BIO,340,01,"Aquatic Biology w/lab","Jacobson, Peter J",-1,12,4.00
79911,BIO,363,01,"Neurobiology w/lab","Lindgren, Clark A",-13,12,4.00
80807,BIO,365,01,"Microbiology w/lab","Hinsa-Leasure, Shannon",0,12,4.00
